KAZA TURU,KAZA TARIHI,AY,MEVSİM,KAZA SAAT,ILCE,MAHALLE,YOL,OLU SAYISI,YARALI SAYISI,TASIT SAYISI,SURUCU KUSURU,OLUS NEDENI,KAPLAMA CINSI,SERIT SAYISI,AYDINLATMA,YASAL HIZ LIMITI,ARAC CINSI,ARAC MODELI,SURUCU CINSIYET,SURUCU EGITIM DURUMU,EHLIYET YILI
Yaralamali,6/20/2014,6,yaz,23,MELIKGAZI,30-Aug,ANAMUR CD.,,1,2,56/1-a,Yandan carpma,Asfalt,2,Var,50,Ambulans,1997,erkek,LISE VE DENGI OKUL,8
Yaralamali,6/20/2014,6,yaz,21,MELIKGAZI,YENIKOY,ZEREN CD.,,1,2,52/1-b,Yoldan cikma,Asfalt,4,Var,50,Otomobil,2000,erkek,LISE VE DENGI OKUL,1
Yaralamali,6/20/2014,6,yaz,21,MELIKGAZI,ALPASLAN,KIZILIRMAK CD.,,1,1,52/1-a,Yandan carpma,Asfalt,2,Var,50,Kamyonet,2004,erkek,2 YIL SURELI YUKSEK,9
Yaralamali,6/20/2014,6,yaz,21,MELIKGAZI,BAHCELIEVLER,KADIR HAS BULV.,,2,1,53/1-b,Yandan carpma,Asfalt,2,Var,50,Otomobil,1994,erkek,LISE VE DENGI OKUL,5
Yaralamali,6/20/2014,6,yaz,15,MELIKGAZI,AYDINLIKEVLER,GOKALP CD.,,1,2,52/1-a,Yoldan cikma,Asfalt,2,Var,50,Otomobil,1984,erkek,LISE VE DENGI OKUL,2
Yaralamali,6/21/2014,6,yaz,15,MELIKGAZI,ALPASLAN,SIVAS BULV.,,1,1,52/1-a,"Devrilme,savrulma,takla",Asfalt,2,Var,50,Otomobil,2006,kadin,YUKSEK OKUL (LISANS),17
Yaralamali,6/21/2014,6,yaz,22,KOCASINAN,SAHABIYE,KOCASINAN BULV.,,3,2,57/1-a,Yandan carpma,Asfalt,3,Var,70,Otomobil,2004,erkek,ILKOKUL,19
Yaralamali,6/21/2014,6,yaz,16,KOCASINAN,YESIL,KARDES SEHIRLER CD.,,2,1,52/1-a,Yayaya carpma,Asfalt,9,Yok,50,Minibus,1996,erkek,ILKOGRETIM,5
Yaralamali,6/21/2014,6,yaz,17,KOCASINAN,SARAY BOSNA,CORAKCI SK.,,1,1,47/1-b,Yandan carpma,Asfalt,2,Yok,50,Kamyonet,2006,erkek,LISE VE DENGI OKUL,13
Yaralamali,6/21/2014,6,yaz,17,MELIKGAZI,YILDIRIM BEYAZIT,AKBIYIK SK.,,1,1,56/1-a,Yandan carpma,Asfalt,1,Yok,50,Kamyonet,2008,erkek,ILKOKUL,5
Yaralamali,6/24/2014,6,yaz,17,KOCASINAN,BARBAROS,OYMAK CD.,,2,2,52/1-b,Engel/Cisim ile carpisma,Asfalt,2,Var,30,Otomobil,2008,kadin,LISE VE DENGI OKUL,1
Yaralamali,6/21/2014,6,yaz,1,KOCASINAN,YUNUS EMRE,BAGDAT CD.,,2,1,52/1-a,Yandan carpma,Asfalt,2,Var,50,Otomobil,1974,erkek,2 YIL SURELI YUKSEK,4
Yaralamali,6/23/2014,6,yaz,12,KOCASINAN,MEVLANA,14. CD.,,1,3,57/1-a,Yandan carpma,Asfalt,2,Yok,50,Otomobil,1988,erkek,ILKOKUL,3
Yaralamali,6/23/2014,6,yaz,21,KOCASINAN,KOCASINAN,784. SK.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Yok,50,Otomobil,1983,erkek,ILKOKUL,0
Yaralamali,6/23/2014,6,yaz,18,MELIKGAZI,ILDEM CUMHURIYET,AYGUN 1. SK.,,1,1,52/1-a,Yandan carpma,Asfalt,2,Var,50,Kamyonet,2000,erkek,2 YIL SURELI YUKSEK,6
Yaralamali,6/23/2014,6,yaz,17,KOCASINAN,HOCA AHMET YESEVI,MUSTAFA KEMAL PASA BULV.,,2,2,67,Yayaya carpma,Asfalt,4,Yok,70,Otomobil,1997,erkek,2 YIL SURELI YUKSEK,11
Yaralamali,6/23/2014,6,yaz,18,KOCASINAN,OSMANGAZI,ERKILET BULV.,,3,2,57/1-a,Yandan carpma,Asfalt,2,Var,70,Otomobil,2001,erkek,ILKOKUL,4
Yaralamali,6/23/2014,6,yaz,19,KOCASINAN,ZIYAGOKALP,MERAL SK.,,1,2,56/1-c,Arkadan carpma,Asfalt,2,Var,50,Otomobil,1993,erkek,ILKOKUL,3
Yaralamali,6/23/2014,6,yaz,19,MELIKGAZI,ANBAR,14. CD.,,3,2,52/1-a,Yandan carpma,Asfalt,3,Yok,70,Otomobil,1998,erkek,2 YIL SURELI YUKSEK,14
Yaralamali,6/23/2014,6,yaz,11,KOCASINAN,SEKER,OSMAN KAVUNCU BULV.,,2,2,57/1-a,Yandan carpma,Asfalt,4,Var,70,Kamyon,2005,erkek,ILKOGRETIM,15
Yaralamali,6/23/2014,6,yaz,9,KOCASINAN,HACI SAKI,ATATURK BULV.,,1,1,56/1-c,Yandan carpma,Asfalt,2,Var,50,Kamyonet,2011,erkek,ILKOGRETIM,4
Yaralamali,6/24/2014,6,yaz,9,KOCASINAN,BARBAROS,KOCASINAN BULV.,,1,4,67,Yayaya carpma,Asfalt,3,Var,70,Otomobil,1999,erkek,2 YIL SURELI YUKSEK,4
Yaralamali,6/25/2014,6,yaz,7,KOCASINAN,BARBAROS,ERKILET BULV.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Yok,50,Otomobil,2010,erkek,2 YIL SURELI YUKSEK,20
Yaralamali,6/24/2014,6,yaz,22,MELIKGAZI,KOSK,TALAS BULV.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Var,70,Otomobil,2012,erkek,YUKSEK OKUL (LISANS),27
Yaralamali,6/25/2014,6,yaz,10,MELIKGAZI,ANBAR,23 CD.,,2,2,52/1-a,Yandan carpma,Asfalt,3,Var,50,Kamyon,1999,erkek,ILKOKUL,24
Yaralamali,6/25/2014,6,yaz,17,KOCASINAN,UGUREVLER,20. CD.,,4,2,52/1-a,Yandan carpma,Asfalt,3,Yok,50,Otomobil,1999,erkek,ILKOKUL,3
Yaralamali,6/25/2014,6,yaz,17,MELIKGAZI,ERENKOY,,,1,2,56/1-c,Arkadan carpma,Sathi Kaplama,2,Var,50,Otomobil,2013,erkek,2 YIL SURELI YUKSEK,17
Yaralamali,6/25/2014,6,yaz,19,KOCASINAN,SAHABIYE,ISTASYON CD.,,1,2,52/1-a,Yandan carpma,Asfalt,2,Yok,50,Kamyonet,2006,erkek,ILKOKUL,13
Yaralamali,6/25/2014,6,yaz,23,MELIKGAZI,BATTALGAZI,KARTAL BULV.,,1,1,47/1-b,Yandan carpma,Asfalt,3,Var,60,Otomobil,1990,erkek,ILKOKUL,6
Yaralamali,6/26/2014,6,yaz,13,MELIKGAZI,YILDIRIM BEYAZIT,SIVAS BULV.,,2,2,52/1-a,Engel/Cisim ile carpisma,Asfalt,3,Var,70,Otomobil,1999,erkek,ILKOKUL,21
Yaralamali,6/26/2014,6,yaz,20,KOCASINAN,YENISEHIR,HUZUR CD.,,1,1,56/1-a,Engel/Cisim ile carpisma,Asfalt,2,Var,50,Kamyonet,2001,erkek,ILKOKUL,26
Yaralamali,6/27/2014,6,yaz,2,KOCASINAN,CIRGALAN,SIVAS BULV.,,2,1,52/1-a,Yoldan cikma,Asfalt,3,Var,50,Otomobil,1987,erkek,LISE VE DENGI OKUL,22
Yaralamali,6/26/2014,6,yaz,13,TALAS,BAHCELIEVLER,,,1,1,52/1-a,Yandan carpma,Asfalt,2,Var,50,Otomobil,2009,erkek,YUKSEK OKUL (LISANS),5
Yaralamali,6/27/2014,6,yaz,14,MELIKGAZI,TACETTINVELI,SEYYID BURHANEDDIN BULV.,,1,1,52/1-b,Engel/Cisim ile carpisma,Asfalt,3,Var,50,Otomobil,1998,erkek,LISE VE DENGI OKUL,3
Yaralamali,6/27/2014,6,yaz,11,MELIKGAZI,BATTALGAZI,ALIYA IZZETBEGOVIC SK.,,3,1,48 / 5,Yoldan cikma,Asfalt,2,Var,30,Kamyonet,1993,erkek,ILKOGRETIM,6
Yaralamali,6/27/2014,6,yaz,19,TALAS,YENIDOGAN,,,2,2,52/1-a,Aractan cisim dusmesi,Asfalt,2,Var,50,Kamyonet,2005,erkek,YUKSEK OKUL (LISANS),13
Yaralamali,6/27/2014,6,yaz,19,KOCASINAN,ERTUGRUL GAZI,HAKIKAT CD.,,2,1,47/1-b,Yayaya carpma,Asfalt,2,Yok,50,Motorlu Bisiklet,2006,erkek,ILKOGRETIM,0
Yaralamali,6/27/2014,6,yaz,21,KOCASINAN,TURGUT REIS,ILGI SK.,,1,1,47/1-b,Yandan carpma,Asfalt,2,Var,50,Otomobil,1992,erkek,ILKOGRETIM,2
Yaralamali,6/29/2014,6,yaz,8,KOCASINAN,SAHABIYE,SIVAS BULV.,,2,2,57/1-a,Yandan carpma,Asfalt,2,Yok,50,Kamyonet,2004,erkek,ORTAOKUL,0
Yaralamali,6/29/2014,6,yaz,13,KOCASINAN,GEVHER NESIBE,MIMARSINAN CD.,,1,1,47/1-b,Yandan carpma,Asfalt,1,Var,30,Kamyon,2005,erkek,ORTAOKUL,27
Yaralamali,6/29/2014,6,yaz,19,KOCASINAN,ERCIYESEVLER,TUNA CD.,,1,3,52/1-a,"Devrilme,savrulma,takla",Asfalt,2,Yok,50,Otobus,2000,erkek,ILKOKUL,34
Yaralamali,6/29/2014,6,yaz,21,MELIKGAZI,SELIMIYE,3013. SK.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Var,50,Otomobil,1994,erkek,YUKSEK OKUL (LISANS),1
Yaralamali,6/29/2014,6,yaz,22,TALAS,KICIKOY,HALEF HOCA CD.,,3,2,67,Yayaya carpma,Asfalt,2,Var,50,Otomobil,2005,erkek,2 YIL SURELI YUKSEK,10
Yaralamali,6/29/2014,6,yaz,23,MELIKGAZI,KILICASLAN,MUSTAFA KEMAL PASA BULV.,,1,1,52/1-a,Yandan carpma,Asfalt,2,Var,50,Otomobil,2014,erkek,LISE VE DENGI OKUL,10
Yaralamali,6/30/2014,6,yaz,12,KOCASINAN,MEVLANA,,,1,1,52/1-b,Engel/Cisim ile carpisma,Asfalt,2,Var,50,Otomobil,1998,erkek,2 YIL SURELI YUKSEK,5
Yaralamali,6/30/2014,6,yaz,17,KOCASINAN,YENI,7. CD.,,1,2,56/1-a,Yandan carpma,Asfalt,2,Var,40,Otomobil,1989,erkek,ILKOKUL,28
